Airportname,Year,longitude,latitude,month,value
Moscow (Sheremetyevo),2017,37.405974,55.962962,1,18438.6
Murmansk,2017,32.758163,68.784743,1,101.2
Nadym,2017,72.69258,65.479934,1,21.96
Nizhnevartovsk,2017,76.494691,60.951112,1,193.2
Nizhny Novgorod (Strigino),2017,43.791127,56.219628,1,49.17
Nikolaevsk-on-Amur,2017,140.663597,53.149961,1,4.9
Novokuznetsk,2017,86.864303,53.805377,1,62.8
Novosibirsk (Tolmachyovo),2017,82.667491,55.009425,1,1212.3
New Urengoy,2017,76.52242199999999,66.072965,1,234.4
Norilsk,2017,87.342342,69.325039,1,191.46
Noyabrsk,2017,75.274455,63.181841000000006,1,30.88
Omsk (central),2017,73.007305,55.085528000000004,1,185.0
Orenburg (central),2017,55.457063,51.79139,1,65.05
Perm (Bolshoye Savino),2017,56.010461,57.91611999999999,1,109.25
Petropavlovsk (Yelizovo),2017,158.425285,53.169328,1,410.26
Polar,2017,112.038215,66.400137,1,20.49
Rostov-on-Don,2017,39.929081,47.488341999999996,1,376.62
Saint Petersburg (Pulkovo),2017,30.273027000000003,59.799769999999995,1,1577.0
Saratov (central),2017,106.644236,47.454355,1,25.0
Sochi,2017,39.941316,43.448370000000004,1,122.19
Stavropol (Shpakovskoye),2017,42.105169000000004,45.112737,1,57.0
Surgut,2017,73.40807,61.34020400000001,1,186.9
Syktyvkar,2017,50.851293,61.663805,1,40.87
Tiksi,2017,128.888094,71.698596,1,20.72
Tomsk (Bogashevo),2017,85.209517,56.388412,1,105.98
Tyumen (Roschino),2017,65.348628,57.181514,1,227.6
Ufa,2017,55.883529,54.566329,1,205.75
Khabarovsk (MVL),2017,135.171082,48.525706,1,1.1
Khabarovsk (New),2017,135.171082,48.525706,1,1393.1
Khanty-Mansiysk,2017,69.095798,61.026143999999995,1,29.78
Khatanga,2017,102.473016,71.978434,1,100.47
Chelyabinsk (Balandino),2017,61.50928199999999,55.298164,1,170.18
Reads (tub),2017,113.30649199999999,52.020464000000004,1,195.37
Yuzhno-(Khomutovo),2017,142.723677,46.886967,1,540.76
Yakutsk,2017,129.750225,62.08659399999999,1,494.19
Yamburg,2017,75.09778299999999,67.980026,1,0.06
Yaroslavl (Tunoshna),2017,40.170054,57.56231,1,106.21
Abakan,2016,91.39973499999999,53.751351,1,34.1
Anapa (Vitjazevo),2016,37.341511,45.003748,1,26.19
Arkhangelsk (Talagy),2016,40.714892,64.596138,1,86.8
Astrakhan (Narimanovo),2016,47.999896,46.287344,1,49.87
Novy Urengoy,2016,66.694583,63.697412,1,8.4
Blagoveshchensk,2016,127.40753600000001,50.42238,1,149.1
Bugulma,2016,52.79030600000001,54.634026,1,1.59
Vladivostok (Knevichi),2016,132.16510300000002,43.396702000000005,1,1173.5
Volgograd (Gumrak),2016,44.356743,48.792276,1,46.0
Vorkuta,2016,64.00447,67.49024399999999,1,68.13
Voronezh (Chertovitskoe),2016,39.225359000000005,51.812576,1,53.16
Ekaterinburg (Koltsovo),2016,60.802263,56.75025600000001,1,1275.28
Ivanovo (Yuzhny),2016,40.943709999999996,56.942303,1,41.97
Irkutsk,2016,104.355777,52.273103000000006,1,371.0
Kazan,2016,49.298590999999995,55.608089,1,145.11
Kemerovo,2016,86.118863,55.28199,1,275.24
Kogalym,2016,74.5295,62.195565,1,17.85
Komsomolsk-on-Amur,2016,136.929004,50.403351,1,200.8
Krasnodar (Paszkowski),2016,39.139669,45.033923,1,272.74
Krasnoyarsk (Emelyanovo),2016,92.486391,56.180578000000004,1,634.82
red,2016,94.40495,51.676108,1,0.22
Zabaykalsk,2016,114.831553,60.722584999999995,1,19.74
Magadan (Falcon),2016,150.73116000000002,59.914272,1,406.0
Mineral water,2016,43.087648,44.217799,1,83.8
Peaceful,2016,114.02243100000001,62.531381999999994,1,425.99
Moscow (Vnukovo),2016,37.295014,55.608562,1,1614.64
Moscow (Domodedovo),2016,37.767995,55.43716800000001,1,6866.9
Moscow (Sheremetyevo),2016,37.405974,55.962962,1,13905.9
Murmansk,2016,32.758163,68.784743,1,70.2
Nadym,2016,72.69258,65.479934,1,15.72
Nizhnevartovsk,2016,76.494691,60.951112,1,178.7
Nizhny Novgorod (Strigino),2016,43.791127,56.219628,1,72.22
Nikolaevsk-on-Amur,2016,140.663597,53.149961,1,9.98
Novokuznetsk,2016,86.864303,53.805377,1,46.9
Novosibirsk (Tolmachyovo),2016,82.667491,55.009425,1,1005.3
New Urengoy,2016,76.52242199999999,66.072965,1,256.9
Norilsk,2016,87.342342,69.325039,1,676.5
Noyabrsk,2016,75.274455,63.181841000000006,1,28.67
Omsk (central),2016,73.007305,55.085528000000004,1,147.0
Orenburg (central),2016,55.457063,51.79139,1,56.63
Perm (Bolshoye Savino),2016,56.010461,57.91611999999999,1,97.95
Petropavlovsk (Yelizovo),2016,158.425285,53.169328,1,368.38
Polar,2016,112.038215,66.400137,1,12.9
Rostov-on-Don,2016,39.929081,47.488341999999996,1,235.97
Saint Petersburg (Pulkovo),2016,30.273027000000003,59.799769999999995,1,1222.0
Saratov (central),2016,106.644236,47.454355,1,20.0
Sochi,2016,39.941316,43.448370000000004,1,116.08
Stavropol (Shpakovskoye),2016,42.105169000000004,45.112737,1,37.0
Surgut,2016,73.40807,61.34020400000001,1,192.8
Syktyvkar,2016,50.851293,61.663805,1,38.83
Tiksi,2016,128.888094,71.698596,1,0.7
Tomsk (Bogashevo),2016,85.209517,56.388412,1,81.74
Tyumen (Roschino),2016,65.348628,57.181514,1,203.7
Ufa,2016,55.883529,54.566329,1,181.59
Khabarovsk (MVL),2016,135.171082,48.525706,1,0.2
